Symbol,Number,Density,Molar volume,BCCefflatcnt,NfUnfilled,NpUnfilled,BCCenergy_pa,Thermal conductivity,IsMetal,MendeleevNumber,BCCvolume_pa,IsFBlock,BCCfermi,Velocity of sound,IsNonmetal,CovalentRadius,GSefflatcnt,GSvolume_pa,BCCvolume_padiff,SpaceGroupNumber,GSestFCClatcnt,NdUnfilled,GSmagmom,BoilingT,Row,GSestBCClatcnt,Electronegativity,BulkModulus,MeltingT,NsValence,Van der waals radius,BCCbandgap,NUnfilled,HeatFusion,IsMetalloid,HeatCapacityMolar,Column,NdValence,BCCenergydiff,Liquid range,IsDBlock,NfValence,NpValence,AtomicWeight,GSenergy_pa,Polarizability,FirstIonizationEnergy,NsUnfilled,phi,BCCmagmom,GSbandgap,ICSDVolume,AtomicVolume,IsAlkali,NValance,HeatCapacityMass
Cu,29,8920,7.11,5.617631504,0,0,-3.64288728,400,1,64,11.08,0,4.3787397,3570,0,132,5.615940974,11.07,1.00E-02,225,3.537821124,0,0,3200,4,2.807970487,1.9,140,1357.77,1,1.4,0,1,13.6,0,24.44,11,10,3.78E-02,1842.23,1,0,0,63.546,-3.68065482,6.15,7.72638,1,4.45,0,0,11.81,11.82994193,0,11,0.385
Zn,30,7140,9.16,6.096226278,0,0,-1.1570915,120,1,69,14.16,0,3.91507328,3700,0,122,6.067388447,13.96,0.2,194,3.822215211,0,0,1180,4,3.033694224,1.65,70,692.68,2,1.39,0,0,7.068,0,25.39,12,10,8.29E-02,487.32,1,0,0,65.38,-1.239999915,-5.816666667,9.394199,0,4.1,0,0,15.19,15.20568373,0,12,0.388
Ga,31,5904,11.8,6.596508714,0,5,-2.97839076,29,1,74,17.94,0,3.94985673,2740,0,122,6.707098736,18.8575,-0.9175,64,4.225207441,0,0,2477,4,3.353549368,1.81,0,302.91,2,1.87,0,5,5.585,0,26.03,13,10,3.39E-02,2174.09,0,0,1,69.723,-3.012255303,8.12,5.999301,0,4.1,0,0,19.6,19.61051348,0,13,0.373
Ge,32,5323,13.63,6.702649876,0,4,-4.27836489,60,0,79,18.82,0,4.38004256,5400,0,120,7.166614987,23.005,-4.185,225,4.514684539,0,0,3093,4,3.583307493,2.01,0,1211.4,2,2.11,0,4,36.94,1,23.222,14,10,0.337674655,1881.6,0,0,2,72.64,-4.616039545,5.84,7.89943,0,4.55,0,0.383,22.23,22.66097638,0,14,0.32
As,33,5727,12.95,6.725130247,0,3,-4.21496399,50,1,84,19.01,0,6.47464548,0,0,119,7.079368793,22.175,-3.165,166,4.459722881,0,0,887,4,3.539684396,2.18,22,1090,2,1.85,0,3,24.44,1,24.64,15,10,0.435925125,203,0,0,3,74.9216,-4.650889115,4.31,9.7886,0,4.8,0,0,21.52,21.72396574,0,15,0.329
Se,34,4819,16.42,6.859228863,0,2,-2.90074111,0.52,0,89,20.17,0,5.61176057,3350,1,120,7.457358014,25.92,-5.75,14,4.697841169,0,0,958,4,3.728679007,2.55,8.3,494,2,1.9,0,2,6.69,0,25.363,16,10,0.5700508,464,0,0,4,78.96,-3.47079191,3.77,9.75239,0,0,0,0.799,29.81,27.20880463,0,16,0.321
Br,35,3120,19.78,7.422672127,0,1,-0.99863179,0.12,0,95,25.56,0,2.00721501,0,1,120,7.784232888,29.48,-3.92,64,4.903759436,0,0,332,4,3.892116444,2.96,1.9,265.8,2,1.85,0,1,5.285,0,75.69,17,10,0.584393548,66.2,0,0,5,79.904,-1.583025338,3.05,11.8138,0,0,0,1.457,65.14,42.52782532,0,17,0.474
Rb,37,1532,55.76,11.23526301,0,0,-0.96193707,58,1,4,88.64,0,0.09088364,1300,0,220,11.32256956,90.7225,-2.0825,229,7.132771862,0,0,961,5,5.661284779,0.82,2.5,312.46,1,3.03,0,1,2.19,0,31.06,1,0,1.40E-03,648.54,0,0,0,85.4678,-0.963335025,47.27,4.177128,1,2.1,0,0,93.09,92.64095184,1,1,0.363
Sr,38,2630,33.94,9.45988626,0,0,-1.67793991,35,1,8,52.91,0,1.71056951,0,0,195,9.537909464,54.23,-1.32,225,6.008506453,0,0,1655,5,4.768954732,0.95,0,1050,2,2.49,0,0,7.43,0,26.79,2,0,4.87E-03,605,0,0,0,87.62,-1.6828136,25.55,5.69485,0,2.4,0,0,56.08,55.32313078,1,2,0.306
Y,39,4472,19.88,8.043925049,0,0,-6.34029752,17,1,12,32.53,0,3.23208944,3300,0,190,8.030301747,32.365,0.165,194,5.058773104,9,0,3618,5,4.015150874,1.22,41,1799,2,2,0,9,11.39,0,26.53,3,1,1.24E-01,1810,1,0,0,88.90585,-6.464599775,22.7,6.2173,0,3.2,0,0,32.97,33.01321288,0,3,0.298
Zr,40,6511,14.02,7.140036982,0,0,-8.46727487,23,1,44,22.75,0,4.22805065,3800,0,175,7.186290786,23.195,-0.445,194,4.527079516,8,0,4682,5,3.593145393,1.33,0,2128,2,2,0,8,21,0,25.36,4,2,7.87E-02,2554,1,0,0,91.224,-8.545958555,17.9,6.6339,0,3.45,0,0,23.29,23.26594327,0,4,0.278
Nb,41,8570,10.83,6.625794375,0,0,-10.09332153,54,1,47,18.18,0,4.90182207,3480,0,164,6.625794375,18.18,0,229,4.173988903,6,0,5017,5,3.312897187,1.6,170,2750,1,2,0,7,30,0,24.6,5,4,0,2267,1,0,0,92.90638,-10.09332153,15.7,6.75885,1,4.05,0,0,18.15,18.00213298,0,5,0.265
Mo,42,10280,9.38,6.308328617,0,0,-10.84610777,139,1,50,15.69,0,8.63699786,6190,0,154,6.308328617,15.69,0,229,3.973998007,5,0,4912,5,3.154164308,2.16,230,2896,1,2,0,6,37.48,0,24.06,6,5,0,2016,1,0,0,95.96,-10.84610777,12.8,7.09243,1,4.65,0,0,15.59,15.50088069,0,6,0.251
Ru,44,12370,8.17,6.060136004,0,0,-8.57093238,120,1,56,13.91,0,8.76028027,5970,0,146,6.001481116,13.51,0.4,194,3.780696194,3,0,4423,5,3.000740558,2.2,220,2607,1,2,0,4,38.59,0,24.06,8,7,0.62370119,1816,1,0,0,101.07,-9.19463357,9.6,7.3605,1,5.4,0.0000573,0,14.03,13.56787441,0,8,0.238
Rh,45,12450,8.28,6.064489551,0,0,-6.90998391,150,1,59,13.94,0,7.36882436,4700,0,142,6.020669455,13.64,3.00E-01,225,3.79278409,2,0,3968,5,3.010334727,2.28,380,2237,1,2,0,3,26.59,0,24.98,9,8,3.44E-01,1731,1,0,0,102.9055,-7.25364552,8.6,7.4589,1,5.4,0.3703569,0,11.58,13.72550981,0,9,0.243
Pd,46,12023,8.56,6.140393047,0,0,-5.0910129,72,1,62,14.47,0,5.18698918,3070,0,139,6.131894222,14.41,6.00E-02,225,3.862851303,0,0,3236,5,3.065947111,2.2,180,1828.05,0,1.63,0,0,16.74,0,25.98,10,10,4.68E-02,1407.95,1,0,0,106.42,-5.13777457,4.8,8.3369,0,5.45,0,0,14.72,14.69838627,0,10,0.244
Ag,47,10490,10.27,6.375951415,0,0,-2.71997917,430,1,65,16.2,0,4.0527598,2600,0,145,6.392961011,16.33,-0.13,225,4.027313074,0,0,2435,5,3.196480506,1.93,100,1234.93,1,1.72,0,1,11.3,0,25.35,11,10,4.54E-02,1200.07,1,0,0,107.8682,-2.76539356,6.99,7.57623,1,4.35,0,0,17.05,17.07564795,0,11,0.235
Cd,48,8650,13,6.799769312,0,0,-0.74033904,97,1,70,19.65,0,3.9382943,2310,0,144,6.781843142,19.495,0.155,194,4.272293466,0,0,1040,5,3.390921571,1.69,42,594.22,2,1.58,0,0,6.21,0,26.02,12,10,7.18E-02,445.78,1,0,0,112.411,-0.812174225,7.32,8.99382,0,4.05,0,0,21.59,21.58002546,0,12,0.231
In,49,7310,15.76,7.311634665,0,5,-2.65390512,82,1,75,24.43,0,8.39826763,1215,0,142,7.294635453,24.26,0.17,139,4.595332379,0,0,2345,5,3.647317727,1.78,0,429.75,2,1.93,0,5,3.291,0,26.74,13,10,1.29E-02,1915.25,0,0,1,114.818,-2.66680196,9.65,5.78636,0,3.9,0,0,26.14,26.08265816,0,13,0.233
Sn,50,7310,16.29,7.39058945,0,4,-3.89492544,67,1,80,25.23,0,9.05054728,2500,0,139,8.105681123,33.285,-8.055,141,5.106259136,0,0,2875,5,4.052840562,1.96,58,505.08,2,2.17,0,4,7.15,0,26.99,14,10,6.61E-02,2369.92,0,0,2,118.71,-3.96104709,7.06,7.34392,0,4.15,0,0,27.05,26.96678526,0,14,0.227
Sb,51,6697,18.19,7.567916458,0,3,-3.88991513,24,1,85,27.09,0,8.38916182,3420,0,139,7.963163982,31.56,-4.47,166,5.016478962,0,0,1860,5,3.981581991,2.05,42,903.78,2,2.06,0,3,19.79,1,25.23,15,10,0.22744721,956.22,0,0,3,121.76,-4.11736234,6.6,8.60839,0,4.4,0,0,30.21,30.19142344,0,15,0.207
Te,52,6240,20.46,7.678955298,0,2,-2.83411842,3,0,90,28.3,0,7.95791419,2610,0,138,8.223950074,34.76333333,-6.463333333,152,5.180763906,0,0,1261,5,4.111975037,2.1,65,722.66,2,2.06,0,2,17.38,1,25.73,16,10,0.307184087,538.34,0,0,4,127.6,-3.141302507,5.5,9.0096,0,0,0,0.464,33.94,33.95668872,0,16,0.202
I,53,4940,25.72,8.270734499,0,1,-1.05350365,0.449,0,96,35.36,0,4.49323253,0,1,139,8.829036318,43.015,-7.655,64,5.561944354,0,0,457.3,5,4.414518159,2.66,7.7,386.85,2,1.98,0,1,7.76,0,54.43,17,10,0.451898768,70.55,0,0,5,126.90447,-1.505402418,5.025,10.45126,0,0,0,1.062,42.51,42.65885747,0,17,0.214
Cs,55,1879,70.94,12.36054054,0,0,-0.85260163,36,1,5,118.03,0,0.47781163,0,0,244,12.28096291,115.765,2.265,229,7.736521839,0,0,944,6,6.140481453,0.79,1.6,301.59,1,3.43,0,1,2.09,0,32.21,1,0,2.02E-03,642.41,0,0,0,132.9054519,-0.85462646,59.42,3.893905,1,1.95,0,0,67.55,117.4560158,1,1,0.242
Ba,56,3510,38.16,10.05779862,0,0,-1.92352226,18,1,9,63.59,0,1.59964069,1620,0,215,10.05779862,63.59,0,229,6.3360161,0,0,2143,6,5.028899311,0.89,9.6,1000,2,2.68,0,0,7.12,0,28.07,2,0,0,1143,0,0,0,137.327,-1.92352226,39.7,5.211664,0,2.32,0,0,62.88,64.96928167,1,2,0.204
La,57,6146,22.39,8.432076899,0,0,-4.79586452,13,1,13,37.47,1,7.77495265,2475,0,207,8.388912052,36.8975,0.5725,194,5.28468344,9,0,3737,6,4.194456026,1.1,28,1193,2,2,0,9,6.2,0,27.11,3,1,0.131681665,2550,0,0,0,138.90547,-4.927546185,31.1,5.5769,0,3.17,0.0008051,0,37.42,37.53064612,0,3,0.195
Ce,58,6689,20.69,8.386827427,13,0,-4.65518148,11,1,15,36.87,1,3.65500445,2100,0,204,8.414788763,37.24,-0.37,194,5.300984746,9,0,3633,6,4.207394381,1.12,22,1071,2,2,0,22,5.46,0,26.94,3,1,0.12138817,2565,0,1,0,140.116,-4.77656965,29.6,5.5387,0,3.18,0,0,34.47,34.78450148,0,4,0.192
Pr,59,6640,20.8,8.311852231,11,0,-4.64853984,13,1,17,35.89,1,3.59202414,2280,0,203,8.29522152,35.675,0.215,194,5.225662103,0,0,3563,6,4.14761076,1.13,29,1204,2,2,0,11,6.89,0,27.2,3,0,0.12529012,2355,0,3,0,140.90765,-4.77382996,28.2,5.473,0,3.19,0,0,34.5,35.23917573,0,5,0.193
Nd,60,7010,20.59,8.240214906,10,0,-4.6307523,17,1,19,34.97,1,3.44641484,2330,0,201,8.227628401,34.81,0.16,194,5.183081107,0,0,3373,6,4.1138142,1.14,32,1294,2,2,0,10,7.14,0,27.45,3,0,0.13159904,2076,0,4,0,144.242,-4.76235134,31.4,5.525,0,3.19,0,0,34.2,34.16905488,0,6,0.19
Pm,61,7264,20.23,8.171305616,9,0,-4.60804875,15,1,21,34.1,1,3.36326605,0,0,199,8.150685578,33.8425,0.2575,194,5.134610166,0,0,3273,6,4.075342789,1.155,33,1373,2,2,0,9,0,0,0,3,0,0.136572593,1900,0,5,0,145,-4.744621343,30.1,5.582,0,3.19,0,0,33.67,33.14754856,0,7,0
Sm,62,7353,19.98,8.128750143,8,0,-4.5732413,13,1,23,33.57,1,3.25688831,2130,0,198,8.101214064,33.23,0.34,166,5.103445064,0,0,2076,6,4.050607032,1.17,38,1345,2,2,0,8,8.62,0,29.54,3,0,0.140138335,731,0,6,0,150.36,-4.713379635,28.8,5.6437,0,3.2,0,0,33.14,33.95681901,0,8,0.196
Eu,63,5244,28.97,8.355623878,7,0,-1.82958684,14,1,25,36.46,1,2.43429944,0,0,198,8.355623878,36.46,0,229,5.263713205,0,0,1800,6,4.177811939,1.185,8.3,1095,2,2,0,7,9.21,0,27.66,3,0,0,701,0,7,0,151.964,-1.82958684,27.7,5.67038,0,2.5,0,0,48.53,48.12129236,0,9,0.182
Gd,64,7901,19.9,8.052159188,7,0,-4.51068704,11,1,27,32.63,1,3.3984822,2680,0,196,8.004164498,32.05,0.58,194,5.042307669,9,0,3523,6,4.002082249,1.2,38,1586,2,2,0,16,9.67,0,37.03,3,1,0.14373427,1938,0,7,0,157.25,-4.65442131,23.5,6.1498,0,3.2,0,0,32.98,33.04972431,0,10,0.235
