Symbol,Number,Density,Molar volume,BCCefflatcnt,NfUnfilled,NpUnfilled,BCCenergy_pa,Thermal conductivity,IsMetal,MendeleevNumber,BCCvolume_pa,IsFBlock,BCCfermi,Velocity of sound,IsNonmetal,CovalentRadius,GSefflatcnt,GSvolume_pa,BCCvolume_padiff,SpaceGroupNumber,GSestFCClatcnt,NdUnfilled,GSmagmom,BoilingT,Row,GSestBCClatcnt,Electronegativity,BulkModulus,MeltingT,NsValence,Van der waals radius,BCCbandgap,NUnfilled,HeatFusion,IsMetalloid,HeatCapacityMolar,Column,NdValence,BCCenergydiff,Liquid range,IsDBlock,NfValence,NpValence,AtomicWeight,GSenergy_pa,Polarizability,FirstIonizationEnergy,NsUnfilled,phi,BCCmagmom,GSbandgap,ICSDVolume,AtomicVolume,IsAlkali,NValance,HeatCapacityMass
Au,79,19300,10.21,6.444738613,0,0,-3.18445282,320,1,66,16.73,0,6.00475614,1740,0,136,6.440884104,16.7,3.00E-02,225,4.057502731,0,0,3129,6,3.220442052,2.54,220,1337.33,1,1.66,0,1,12.55,0,25.418,11,10,2.52E-02,1791.67,1,14,0,196.966569,-3.20969261,5.8,9.22553,1,5.15,0,0,16.96,16.94706362,0,25,0.129
Hg,80,13534,14.09,7.095825093,0,0,-0.15983096,8.3,1,71,22.33,0,3.26813685,1407,0,132,7.391330115,25.23758621,-2.907586207,166,4.656246199,0,0,629.73,6,3.695665057,2,25,234.32,2,1.55,0,0,2.295,0,27.983,12,10,9.03E-02,395.56,1,14,0,200.59,-0.250105562,5.36,10.4375,0,4.2,0,0,23.82,24.61174207,0,26,0.14
Tl,81,11850,17.22,7.488872387,0,5,-2.25289773,46,1,76,26.25,0,7.60896575,818,0,145,7.551117476,26.91,-0.66,194,4.756905929,0,0,1746,6,3.775558738,1.62,43,577,2,1.96,0,5,4.142,0,26.32,13,10,1.98E-02,1169,0,14,1,204.3833,-2.27267753,7.55,6.108194,0,3.9,0,0,28.53,28.64087656,0,27,0.129
Pb,82,11340,18.26,7.644430423,0,4,-3.58277457,35,1,81,27.92,0,8.30350334,1260,0,146,7.661731754,28.11,-0.19,225,4.826588558,0,0,2022,6,3.830865877,2.33,46,600.61,2,2.02,0,4,4.774,0,24.7,14,10,4.63E-02,1421.39,0,14,2,207.2,-3.62902961,6.995,7.41663,0,4.1,0,0,30.32,30.34142301,0,28,0.13
Bi,83,9780,21.31,7.821897704,0,3,-3.89538374,8,1,86,29.91,0,8.46315729,1790,0,148,8.078395917,32.95,-3.04,12,5.089070533,0,0,1837,6,4.039197959,2.02,31,544.4,2,2.07,0,3,11.106,0,25.52,15,10,7.83E-02,1292.6,0,14,3,208.9804,-3.9736944,0.4,7.2855,0,4.15,0,0,35.38,35.48345908,0,29,0.122
Po,84,9196,22.97,8.434326653,0,2,-3.92813716,20,1,91,37.5,0,7.310142205,0,0,140,8.525643436,38.73125,-1.23125,221,5.370818814,0,0,1235,6,4.262821718,2,0,527,2,1.97,0,2,10,1,0,16,10,0.111211189,708,0,14,4,209,-4.039348349,6.8,8.414,0,0,0,0,37.38,37.74040639,0,30,0
Ra,88,5000,41.09,8.434326653,0,0,-3.92813716,19,1,10,37.5,0,7.310142205,0,0,221,8.525643436,38.73125,-1.23125,229,5.370818814,0,0,2010,7,4.262821718,0.9,0,973,2,2.83,0,0,7.7,0,0,2,0,0.111211189,1037,0,0,0,226,-4.039348349,38.3,5.278423,0,0,0,0,68.22,75.05812023,1,2,0
Ac,89,10070,22.55,8.96878072,0,0,-3.96089058,12,1,14,45.09,1,6.15712712,0,0,215,8.930326207,44.5125,0.5775,225,5.625752986,9,0,3473,7,4.465163104,1.1,0,1323,2,2,0,9,12,0,27.2,3,1,0.144111718,2250,0,0,0,227,-4.105002298,32.1,5.17,0,0,0,0,37.45,37.4330863,0,3,0.12
Th,90,11724,19.8,8.078395917,0,0,-7.26654681,54,1,16,32.95,1,7.42513365,2490,0,206,8.030715254,32.37,0.58,225,5.059033597,8,0,5093,7,4.015357627,1.3,54,2023,2,2,0,8,13.81,0,27.32,3,2,0.14599625,2978,0,0,0,232.03806,-7.41254306,32.1,6.3067,0,3.3,0,0,32.86,32.86568321,0,4,0.118
Pa,91,15370,15.18,7.324580926,12,0,-9.31763091,47,1,18,24.56,1,12.94746448,0,0,200,7.385704077,25.18,-0.62,139,4.652702018,9,0,4273,7,3.692852039,1.5,0,1845,2,2,0,21,12.34,0,0,3,1,0.17978156,0,0,2,0,231.03586,-9.49741247,25.4,5.89,0,0,0,0,24.94,24.96116063,0,5,0
U,92,19050,12.49,6.866023547,11,0,-11.0174143,27,1,20,20.23,1,14.86914267,3155,0,196,6.84275256,20.025,0.205,63,4.310663995,9,0,4200,7,3.42137628,1.38,100,1408,2,1.86,0,20,9.14,0,27.665,3,1,0.274925655,2794.7,0,3,0,238.02891,-11.29233996,24.9,6.1941,0,3.9,0,0,21.18,20.7488474,0,6,0.116
Np,93,20450,11.59,6.585459265,10,0,-12.49858152,6,1,22,17.85,1,18.54401272,0,0,190,6.658885366,18.45375,-0.60375,62,4.194834921,9,0,4273,7,3.329442683,1.36,0,917,2,2,0,19,3.2,0,0,3,1,0.441732836,3363,0,4,0,237,-12.94031436,24.8,6.2657,0,0,0.0000909,0,19.22,19.24483901,0,7,0
Pu,94,19816,12.29,6.43444965,8,0,-13.71427144,6,1,24,16.65,1,19.07201771,2260,0,187,6.613623528,18.08,-1.43,11,4.166321749,0,0.318003638,3503,7,3.306811764,1.28,0,913,2,2,0,8,2.824,0,0,3,0,0.612362865,2590.5,0,6,0,244,-14.32663431,24.5,6.026,0,3.8,0.0000048,0,20.04,20.44716406,0,8,0
